Region,Shortlist,Role,Company,Tier,Tier Score,Location,Salary Band,Employment Type,Date Posted,Job URL,Job Description,Vertical
South,,Junior UI/UX Designer,Abeyon,B,68,"Arlington, VA",Not listed,Full-time,2026-09-04,https://www.linkedin.com/jobs/view/junior-ui-ux-designer-at-abeyon-4463392189,"About The Company: Abeyon is an award-winning technology services firm focused on Artificial Intelligence (AI) technology in the Federal space. Our Federal portfolio includes clients in the Department of Defense and civilian agencies. We are engineers, designers, and problem solvers who are passionate about technology and committed to delivering exceptional service to government clients. We have more than 95% employee retention rate. We offer a competitive benefits package, a supportive work en…",ux_design
South,,Human Resources Assistant,Kanner & Pintaluga,B,68,"Boca Raton, FL",Not listed,Full-time,2026-09-04,https://www.linkedin.com/jobs/view/human-resources-assistant-at-kanner-pintaluga-4463303188,"Founded in 2003, Kanner & Pintaluga is a NLJ500 and Mid-Market Pro 50 law firm that has recovered over $1 billion for property damage and personal injury clients nationwide. With nearly 100 lawyers and more than 30 offices throughout the Central and Southeastern United States, our primary goal is to achieve the most favorable outcome for our clients, who have the absolute right to receive the maximum compensation for their damages. Position Summary The HR assistant will enhance the departments’…",human_resources
South,,Investment Operations Analyst - Entry Level,PrincePerelson and Associates,B,68,"Salt Lake City, UT",Not listed,Full-time,2026-09-04,https://www.linkedin.com/jobs/view/investment-operations-analyst-entry-level-at-princeperelson-and-associates-4462316960,"Investment Operations Analyst - Entry Level Salt Lake City, UT (In-Office | Must be local) Comp: $47-56K/year We are partnering with a leading global financial firm to identify an experienced Investment Operations Analyst . This role supports complex investment portfolios and financial operations, with a focus on daily account activity, operational risk, process improvement, and collaboration across teams. This is a great opportunity to build your career in investment operations while gaining e…",data_analytics
South,,IT Support Technician - L1,Adistec,B,67,"Miami, FL",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/it-support-technician-l1-at-adistec-4461914015,"Position Summary The IT Support Technician is responsible for providing technical support to employees and ensuring the reliable operation of company computers, applications, user accounts, peripherals, and related technology. The role requires strong troubleshooting skills, customer-service orientation, attention to detail, and the ability to effectively support both technical and non-technical users in a fast-paced corporate environment. *Must be located in Florida* Key Responsibilities Provi…",it_support
South,,Data Analyst II,Emory Healthcare,B,67,"Atlanta, GA",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/data-analyst-ii-at-emory-healthcare-4435173069,"Overview Be inspired. Be valued. Belong. Benefits At Emory Healthcare we fuel your professional journey with better benefits, valuable resources, ongoing mentorship and leadership programs for all types of jobs, and a supportive environment that enables you to reach new heights in your career and be what you want to be. We provide: Comprehensive health benefits that start day 1 Student Loan Repayment Assistance & Reimbursement Programs Family-focused benefits Wellness incentives Ongoing mentors…",data_analytics
South,,SOC Analyst,Mantis Security Corporation,B,67,"Reston, VA",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/soc-analyst-at-mantis-security-corporation-4460739981,"Mantis Security is seeking an experienced Security Operations Center (SOC) Analyst to support the monitoring, detection, investigation, and response to cybersecurity threats within a mission-focused environment. This position will work as part of a security operations team responsible for protecting both traditional and AWS cloud-based infrastructure. The ideal candidate will have a strong foundation in security operations and incident response, with hands-on experience analyzing security event…",cybersecurity
South,,Design Project Coordinator – Luxury Carpets & Rugs,Costikyan Carpet Cleaning,B,67,"Boynton Beach, FL",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/design-project-coordinator-%E2%80%93-luxury-carpets-rugs-at-costikyan-carpet-cleaning-4462844448,"Since 1886 , Costikyan has been the trusted name in fine carpet and textile care. For more than a century, we’ve partnered with discerning homeowners, interior designers, architects, and property managers to preserve and enhance the beauty of their interiors. From cleaning and restoring heirloom rugs to fabricating and installing custom carpets and rugs in luxury residences, yachts, and landmark properties, every piece we handle is treated with expert craftsmanship, thoughtful service, and genu…",project_management
South,,Associate Project Manager,"ADMA Biologics, Inc.",B,67,"Boca Raton, FL",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/associate-project-manager-at-adma-biologics-inc-4462862406,"Job Description Header ADMA Biologics is a biopharmaceutical company relentlessly committed to creating superior products for immunodeficient patients at risk for infection. It is our devotion to this underserved population that fuels us and our hands-on approach to production and development that sets us apart. If you are looking for a dynamic, innovative, growing company in the biopharmaceutical industry that is committed to excellence and integrity, then consider ADMA Biologics. We currently…",project_management
South,,Associate Project Manager,ADMA BioCenters,B,67,"Boca Raton, FL",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/associate-project-manager-at-adma-biocenters-4463113738,"Job Description Apply now Job Description Header: ADMA Biologics is a biopharmaceutical company relentlessly committed to creating superior products for immunodeficient patients at risk for infection. It is our devotion to this underserved population that fuels us and our hands-on approach to production and development that sets us apart. If you are looking for a dynamic, innovative, growing company in the biopharmaceutical industry that is committed to excellence and integrity, then consider A…",project_management
East Coast,TRUE,"Data Analyst, Administration & Finance",University of Massachusetts,A,109,"Shrewsbury, MA","$60,000 - $75,000 USD (annual)",Full-time,2026-09-05,https://www.linkedin.com/jobs/view/data-analyst-administration-finance-at-university-of-massachusetts-4463693701,"Pay Range The UMass President’s Office expects to pay within an approximate hiring range between $60,000 - $75,000 for this position. The specific pay for this position will be determined by the University based on consideration of all relevant factors when and if it decides to extend an offer of employment. Primary Work Location: Westborough, MA. Hybrid schedule. Job Summary Reporting to the Assistant Vice President of Administration & Finance Support Services (Access) Team, the Data Analyst i…",data_analytics
East Coast,TRUE,Desktop Support Specialist I - NYEE - Digital and Technology Partners - Onsite - Monday - Friday 9am - 5pm,Mount Sinai Health System,A,106,"New York, NY",$27 - $42 USD /hr,Full-time,2026-09-02,https://www.linkedin.com/jobs/view/desktop-support-specialist-i-nyee-digital-and-technology-partners-onsite-monday-friday-9am-5pm-at-mount-sinai-health-system-4460669867,"Description 100% Onsite Position Location: New York Eye & Ear Infirmary (NYEE) - 230 2nd Avenue, New York, NY Shift: Monday - Friday, 9am - 5pm The Desktop Support Specialist I provides support to business area management and staff at the highest level for all aspects of workplace technology services including but not limited to network-based systems software and hardware. Responsibilities Duties and Responsibilities Provides support to business area management and staff at the highest customer…",it_support
East Coast,TRUE,Operations Analyst,AXA XL,A,103,"Exton, PA","$60,600 - $86,200 USD (annual)",Full-time,2026-08-28,https://www.linkedin.com/jobs/view/operations-analyst-at-axa-xl-4458038617,"Where you will work Programs is an Operations Unit within AXA XL that supports Underwriting operations, focusing on the operational backbone of our business. This role is pivotal in enabling both our internal XL Underwriters and external Program Administrators to thrive. As an Operations Business Analyst, you'll be the essential link between complex underwriting needs and seamless operational execution for our North America Programs Underwriting Business. What You Will Be Doing What will your e…",data_analytics
